country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Armenia,1830,ARM,452898,,,,0,,,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Armenia,1831,ARM,457054,,,,0,0,22.5,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Armenia,1832,ARM,461249,,,,0,0,-34.694,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Armenia,1833,ARM,465481,,,,0,0,25,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Armenia,1850,ARM,543681,,,,0,,,1.048,,,1.928,,,0,,,0,0,,,,,0,1.048,0,0,0,1.048,0,,,,0,0,0,0,0.146,1.757,1.048,1.928,0.214,0.394,0.076,0.14,0,0,,,,,0,0.037,0,,0,0.037,0,,,0.04,,,,,0.04,,,,,,,,0.955,0.079,,
Armenia,1851,ARM,548732,,,,,,,,,,,,,,,,,,,,,,,,,,,2.079,,,,,,,,,0.146,1.729,1.031,1.879,0.215,0.392,0.077,0.141,,,,,,,,,,,,,,,,0.038,,,,,0.037,,,0.02,0,0,0,0,0.949,0.08,,
Armenia,1852,ARM,553829,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,0.145,1.706,1.021,1.843,0.215,0.388,0.079,0.142,,,,,,,,,,,,,,,,0.037,,,,,0.036,,,0.02,0,0,0,0,0.945,0.08,,
Armenia,1853,ARM,558974,,,,,,,,,,,,,,,,,,,,,,,,,,,4.112,,,,,,,,,0.144,1.685,1.012,1.811,0.215,0.385,0.08,0.143,,,,,,,,,,,,,,,,0.037,,,,,0.035,,,0.019,0,0,0,0,0.942,0.081,,
Armenia,1854,ARM,564166,,,,,,,,,,,,,,,,,,,,,,,,,,,5.117,,,,,,,,,0.143,1.666,1.005,1.781,0.215,0.381,0.081,0.144,,,,,,,,,,,,,,,,0.036,,,,,0.034,,,0.019,0,0,0,0,0.94,0.081,,
Armenia,1855,ARM,569407,,,,0.001,,,1,,,1.755,,,0.001,,,0.001,0.001,,,,,0.001,2.048,0.001,0,0,6.116,0,,,,0,0,0,0,0.144,1.649,0.999,1.754,0.215,0.378,0.082,0.144,0,0,,,,,0,0.032,0,,0,0.011,0,,,0.036,0,,,,0.035,0,,0.019,0,0,0,0,0.939,0.082,,
Armenia,1856,ARM,574697,,,,,,,,,,,,,,,,,,,,,,,,,,,7.109,,,,,,,,,0.141,1.63,0.994,1.729,0.215,0.374,0.083,0.144,,,,,,,,,,,,,,,,0.036,,,,,0.033,,,0.019,0,0,0,0,0.937,0.081,,
Armenia,1857,ARM,580035,,,,,,,,,,,,,,,,,,,,,,,,,,,8.099,,,,,,,,,0.14,1.613,0.99,1.706,0.215,0.371,0.084,0.145,,,,,,,,,,,,,,,,0.035,,,,,0.034,,,0.019,0,0,0,0,0.936,0.081,,
Armenia,1858,ARM,585423,,,,0.001,,,0.987,,,1.686,,,0.002,,,0.001,0.002,,,,,0.002,3.035,0.002,0,0,9.085,0,,,,0,0,0,0,0.141,1.598,0.986,1.685,0.215,0.368,0.085,0.145,0,0,,,,,0,0.03,0,,0,0.011,0,,,0.035,0,,,,0.033,0,,0.019,0,0,0,0,0.936,0.083,,
Armenia,1859,ARM,590862,,,,0.001,0,6.08,0.984,-0.003,-0.294,1.666,,,0.002,,,0.001,0.002,,,,,0.003,4.02,0.003,0,0,10.069,0,,,,0,0,0,0,0.143,1.585,0.983,1.664,0.217,0.367,0.085,0.144,0,0,,,,,0,0.029,0,,0,0.013,0,,,0.035,0,,,,0.032,0,,0.019,0,0,0,0,0.936,0.084,,
Armenia,1860,ARM,596350,,,,0.001,0,32.099,0.975,-0.01,-0.968,1.635,,,0.003,,,0.001,0.002,,,,,0.005,4.994,0.005,0,0,11.042,0,,,,0,0,0,0,0.145,1.56,0.973,1.632,0.218,0.366,0.086,0.144,0,0,,,,,0,0.031,0,,0,0.014,0,,,0.035,0.023,,,,0.035,0.044,,0.019,0,0,0,0,0.931,0.086,,
Armenia,1861,ARM,601890,,,,0.002,0,27.036,0.965,-0.01,-0.981,1.604,,,0.003,,,0.002,0.003,,,,,0.007,5.96,0.007,0,0,12.005,0,,,,0,0,0,0,0.147,1.544,0.963,1.601,0.221,0.368,0.086,0.143,0,0,,,,,0.001,0.031,0.001,,0,0.016,0,,,0.035,0.016,,,,0.035,0.013,,0.019,0,0,0,0,0.929,0.089,,
Armenia,1862,ARM,607481,,,,0.002,0,-9.774,0.956,-0.01,-0.995,1.573,,,0.003,,,0.002,0.003,,,,,0.008,6.915,0.008,0,0,12.959,0,,,,0,0,0,0,0.149,1.528,0.954,1.57,0.224,0.369,0.087,0.143,0,0,,,,,0,0.031,0,,0,0.017,0,,,0.035,0.013,,,,0.035,0.009,,0.019,0,0,0,0,0.928,0.091,,
Armenia,1863,ARM,613124,,,,0.002,0,4.718,0.947,-0.009,-0.9,1.545,,,0.003,,,0.002,0.003,,,,,0.01,7.863,0.01,0,0,13.905,0.001,,,,0,0,0,0,0.151,1.515,0.945,1.542,0.228,0.371,0.087,0.142,0,0,,,,,0,0.031,0,,0,0.018,0,,,0.035,0.013,,,,0.035,0.015,,0.019,0,0,0,0,0.929,0.093,,
Armenia,1864,ARM,618820,,,,0.002,0,12.18,0.939,-0.008,-0.828,1.518,,,0.003,,,0.002,0.003,,,,,0.012,8.802,0.011,0,0,14.842,0.001,,,,0,0,0,0,0.154,1.502,0.937,1.515,0.231,0.373,0.087,0.141,0,0,,,,,0,0.031,0,,0,0.019,0,,,0.035,0.016,,,,0.036,0.024,,0.019,0,0,0,0,0.93,0.095,,
Armenia,1865,ARM,624568,,,,0.002,0,-4.412,0.932,-0.008,-0.801,1.492,,,0.003,,,0.002,0.003,,,,,0.014,9.734,0.013,0,0,15.772,0.001,,,,0,0,0,0,0.154,1.488,0.93,1.489,0.233,0.373,0.088,0.14,0,0,,,,,0,0.031,0,,0,0.02,0,,,0.035,0.017,,,,0.036,0.023,,0.019,0,0,0,0,0.929,0.096,,
Armenia,1866,ARM,630370,,,,0.006,0.004,215.871,0.929,-0.003,-0.297,1.474,,,0.01,,,0.006,0.009,,,,,0.02,10.663,0.019,0,0,16.695,0.001,,,,0,0,0,0,0.161,1.48,0.923,1.464,0.235,0.372,0.088,0.14,0,0.001,,,,,0.001,0.03,0.001,,0,0.02,0,,,0.035,0.017,,,,0.035,0.019,,0.019,0,0,0,0,0.933,0.101,,
Armenia,1867,ARM,636226,,,,0.007,0.001,14.762,0.923,-0.006,-0.601,1.451,,,0.011,,,0.006,0.01,,,,,0.027,11.586,0.025,0,0,17.611,0.002,,,,0,0,0,0,0.162,1.468,0.916,1.44,0.237,0.372,0.088,0.139,0.001,0.001,,,,,0.001,0.03,0.001,,0,0.021,0,,,0.035,0.019,,,,0.036,0.026,,0.019,0,0,0,0,0.934,0.103,,
Armenia,1868,ARM,642136,,,,0.006,-0.001,-16.798,0.916,-0.007,-0.774,1.427,,,0.009,,,0.005,0.008,,,,,0.033,12.502,0.03,0,0,18.521,0.003,,,,0,0,0,0,0.16,1.453,0.91,1.418,0.238,0.371,0.089,0.138,0.001,0.001,,,,,0.001,0.03,0.001,,0,0.021,0,,,0.035,0.023,,,,0.036,0.039,,0.019,0,0,0,0,0.933,0.103,,
Armenia,1869,ARM,648101,,,,0.008,0.002,35.649,0.913,-0.004,-0.39,1.408,,,0.012,,,0.007,0.011,,,,,0.041,13.415,0.037,0,0,19.426,0.004,,,,0,0,0,0,0.163,1.443,0.905,1.396,0.24,0.371,0.089,0.138,0.001,0.001,,,,,0.002,0.029,0.001,,0,0.022,0,,,0.035,0.024,,,,0.035,0.034,,0.019,0,0,0,0,0.935,0.106,,
Armenia,1870,ARM,654121,,,,0.009,0.001,8.519,0.869,-0.044,-4.776,1.329,,,0.013,,,0.008,0.012,,,,,0.05,14.284,0.045,0,0,20.287,0.005,,,,0,0,0,0,0.164,1.403,0.861,1.316,0.242,0.37,0.09,0.137,0.001,0.001,,,,,0.002,0.026,0.001,,0,0.022,0,,,0.035,0.025,,,,0.03,0.029,,0.019,0,0,0,0,0.918,0.107,,
Armenia,1871,ARM,660197,,,,0.012,0.003,35.012,0.857,-0.013,-1.447,1.297,,,0.018,,,0.011,0.016,,,,,0.061,15.14,0.056,0,0,21.132,0.005,,,,0,0,0,0,0.169,1.385,0.845,1.28,0.244,0.37,0.091,0.137,0.001,0.001,,,,,0.002,0.025,0.002,,0,0.022,0,,,0.035,0.025,,,,0.03,0.023,,0.019,0,0,0,0,0.915,0.111,,
Armenia,1872,ARM,666330,,,,0.012,0,2.665,0.847,-0.01,-1.111,1.271,,,0.018,,,0.011,0.017,,,,,0.073,15.987,0.067,0,0,21.967,0.006,,,,0,0,0,0,0.17,1.371,0.835,1.253,0.247,0.37,0.093,0.14,0.001,0.001,,,,,0.002,0.023,0.002,,0.001,0.022,0.001,,,0.034,0.025,,,,0.027,0.023,,0.019,0,0,0,0,0.914,0.113,,
