country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Greece,1850,GRC,3044219,4891707904,,,,,,,,,,,,,,,,,,,,,,,,,,10.726,,,,,,,,,0.281,2.348,10.726,3.523,2.629,0.864,0.343,0.113,,,,,,,,,,,,,,,,0.406,,,,,0.406,,,,,,,,7.147,0.854,,
Greece,1851,GRC,3072720,6048768000,,,,,,,,,,,,,,,,,,,,,,,,,,21.577,,,,,,,,,0.281,2.339,10.851,3.531,2.654,0.864,0.35,0.114,,,,,,,,,,,,,,,,0.395,,,,,0.385,,,0.172,0,0,0,0,7.188,0.863,,
Greece,1852,GRC,3101474,5155299840,,,,,,,,,,,,,,,,,,,,,,,,,,32.521,,,,,,,,,0.281,2.328,10.944,3.529,2.68,0.864,0.356,0.115,,,,,,,,,,,,,,,,0.391,,,,,0.383,,,0.172,0,0,0,0,7.219,0.872,,
Greece,1853,GRC,3130486,5701038080,,,,,,,,,,,,,,,,,,,,,,,,,,43.541,,,,,,,,,0.281,2.315,11.02,3.52,2.705,0.864,0.362,0.116,,,,,,,,,,,,,,,,0.388,,,,,0.379,,,0.171,0,0,0,0,7.249,0.881,,
Greece,1854,GRC,3159768,6025463808,,,,,,,,,,,,,,,,,,,,,,,,,,54.629,,,,,,,,,0.281,2.304,11.088,3.509,2.731,0.864,0.368,0.116,,,,,,,,,,,,,,,,0.386,,,,,0.38,,,0.17,0,0,0,0,7.28,0.889,,
Greece,1855,GRC,3189325,6396308992,,,,,,,,,,,,,,,,,,,,,,,,,,65.779,,,,,,,,,0.282,2.292,11.149,3.496,2.756,0.864,0.373,0.117,,,,,,,,,,,,,,,,0.387,,,,,0.387,,,0.17,0,0,0,0,7.31,0.898,,
Greece,1856,GRC,3219158,5650511872,,,,,,,,,,,,,,,,,,,,,,,,,,76.984,,,,,,,,,0.282,2.28,11.206,3.481,2.781,0.864,0.378,0.117,,,,,,,,,,,,,,,,0.385,,,,,0.377,,,0.169,0,0,0,0,7.341,0.907,,
Greece,1857,GRC,3249270,7394387968,,,,,,,,,,,,,,,,,,,,,,,,,,88.243,,,,,,,,,0.282,2.269,11.259,3.465,2.807,0.864,0.382,0.118,,,,,,,,,,,,,,,,0.385,,,,,0.382,,,0.169,0,0,0,0,7.373,0.915,,
Greece,1858,GRC,3279663,7190780928,,,,,,,,,,,,,,,,,,,,,,,,,,99.552,,,,,,,,,0.282,2.257,11.308,3.448,2.832,0.864,0.386,0.118,,,,,,,,,,,,,,,,0.384,,,,,0.38,,,0.169,0,0,0,0,7.403,0.924,,
Greece,1859,GRC,3310359,7144266240,,,,,,,,,,,,,,,,,,,,,,,,,,110.909,,,,,,,,,0.282,2.246,11.357,3.431,2.858,0.863,0.388,0.117,,,,,,,,,,,,,,,,0.383,,,,,0.374,,,0.168,0,0,0,0,7.436,0.932,,
Greece,1860,GRC,3341361,7088999936,,,,,,,,,,,,,,,,,,,,,,,,,,122.461,,,,,,,,,0.281,2.255,11.553,3.458,2.883,0.863,0.39,0.117,,,,,,,,,,,,,,,,0.386,,,,,0.415,,,0.169,0,0,0,0,7.536,0.94,,
Greece,1861,GRC,3372671,7616154112,,,,,,,,,,,,,,,,,,,,,,,,,,134.111,,,,,,,,,0.281,2.251,11.65,3.454,2.911,0.863,0.391,0.116,,,,,,,,,,,,,,,,0.389,,,,,0.421,,,0.169,0,0,0,0,7.593,0.949,,
Greece,1862,GRC,3404292,7757634048,,,,,,,,,,,,,,,,,,,,,,,,,,145.833,,,,,,,,,0.281,2.241,11.722,3.443,2.939,0.863,0.392,0.115,,,,,,,,,,,,,,,,0.392,,,,,0.428,,,0.17,0,0,0,0,7.628,0.958,,
Greece,1863,GRC,3436229,6993769984,,,,,,,,,,,,,,,,,,,,,,,,,,157.622,,,,,,,,,0.281,2.231,11.788,3.431,2.967,0.863,0.393,0.114,,,,,,,,,,,,,,,,0.395,,,,,0.435,,,0.171,0,0,0,0,7.665,0.967,,
Greece,1864,GRC,3468464,6416693760,,,,,,,,,,,,,,,,,,,,,,,,,,169.469,,,,,,,,,0.281,2.22,11.847,3.416,2.995,0.864,0.394,0.114,,,,,,,,,,,,,,,,0.398,,,,,0.452,,,0.171,0,0,0,0,7.702,0.976,,
Greece,1865,GRC,3501002,6919632896,,,,,,,,,,,,,,,,,,,,,,,,,,181.372,,,,,,,,,0.281,2.211,11.903,3.4,3.023,0.863,0.395,0.113,,,,,,,,,,,,,,,,0.402,,,,,0.463,,,0.172,0,0,0,0,7.74,0.985,,
Greece,1866,GRC,3533846,6662249984,,,,,,,,,,,,,,,,,,,,,,,,,,193.328,,,,,,,,,0.281,2.202,11.957,3.383,3.051,0.863,0.396,0.112,,,,,,,,,,,,,,,,0.405,,,,,0.458,,,0.173,0,0,0,0,7.781,0.994,,
Greece,1867,GRC,3566997,7105326080,,,0.169,,,12.168,,,3.411,1.713,,0.047,0.024,,0.169,0.047,,,,,0.169,12.168,0.169,,0,205.328,0,,,,,,0,0,0.331,2.241,12,3.364,3.089,0.866,0.397,0.111,0,0,,,,,0.035,0.399,0.035,,0.002,0.022,0.002,,,0.408,0,,,,0.467,0,,0.173,0,0,0,0,7.995,1.181,,
Greece,1868,GRC,3600459,7253819904,,,0.084,-0.084,-50,12.124,-0.044,-0.364,3.367,1.671,,0.023,0.012,,0.084,0.023,,,,,0.253,24.293,0.253,,0,217.368,0,,,,,,0,0,0.306,2.206,12.04,3.344,3.112,0.864,0.398,0.11,0,0,,,,,0.017,0.4,0.017,,0.002,0.041,0.002,,,0.411,0,,,,0.474,0,,0.174,0,0,0,0,7.943,1.101,,
Greece,1869,GRC,3634972,7213031936,,,0.194,0.11,130.435,12.273,0.149,1.229,3.376,1.702,,0.053,0.027,,0.194,0.053,,,,,0.447,36.566,0.447,,0,229.447,0,,,,,,0,0,0.337,2.228,12.079,3.323,3.146,0.865,0.399,0.11,0,0,,,,,0.037,0.395,0.037,,0.004,0.059,0.004,,,0.414,0,,,,0.467,0,,0.175,0,0,0,0,8.098,1.226,,
Greece,1870,GRC,3670555,7087265792,,,0.202,0.007,3.774,12.992,0.719,5.856,3.54,1.833,,0.055,0.028,,0.202,0.055,,,,,0.649,49.558,0.649,,0,242.238,0,,,,,,0,0,0.338,2.278,12.79,3.485,3.174,0.865,0.4,0.109,0,0,,,,,0.038,0.385,0.038,,0.005,0.076,0.006,,,0.416,0,,,,0.451,0,,0.175,0,0,0,0,8.36,1.242,,
Greece,1871,GRC,3707223,6867146240,,,0.297,0.095,47.273,13.401,0.409,3.146,3.615,1.951,,0.08,0.043,,0.297,0.08,,,,,0.945,62.958,0.945,,0,255.342,0,,,,,,0,0,0.365,2.322,13.104,3.535,3.214,0.867,0.406,0.11,0,0,,,,,0.052,0.391,0.052,,0.008,0.091,0.008,,,0.418,0,,,,0.459,0,,0.175,0,0,0,0,8.61,1.354,,
Greece,1872,GRC,3744997,6739992064,,,0.176,-0.121,-40.741,13.499,0.098,0.731,3.604,2.003,,0.047,0.026,,0.176,0.047,,,,,1.121,76.457,1.121,,0,268.664,0,,,,,,0,0,0.331,2.297,13.323,3.557,3.241,0.866,0.42,0.112,0,0,,,,,0.028,0.366,0.028,,0.009,0.105,0.009,,,0.419,0,,,,0.436,0,,0.175,0,0,0,0,8.602,1.239,,
Greece,1873,GRC,3783894,8022559744,,,0.194,0.018,10.417,13.693,0.195,1.442,3.619,1.707,,0.051,0.024,,0.194,0.051,,,,,1.315,90.15,1.315,,0,282.163,0,,,,,,0,0,0.336,2.306,13.499,3.568,3.276,0.866,0.441,0.117,0,0,,,,,0.029,0.375,0.029,,0.01,0.118,0.01,,,0.42,0,,,,0.453,0,,0.175,0,0,0,0,8.727,1.272,,
Greece,1874,GRC,3823195,7667516928,,,0.15,-0.044,-22.642,13.797,0.104,0.758,3.609,1.799,,0.039,0.02,,0.15,0.039,,,,,1.466,103.947,1.466,,0,295.81,0,,,,,,0,0,0.324,2.297,13.647,3.569,3.308,0.865,0.466,0.122,0,0,,,,,0.024,0.362,0.024,,0.01,0.13,0.01,,,0.421,0,,,,0.429,0,,0.175,0,0,0,0,8.78,1.239,,
Greece,1875,GRC,3862904,7422792192,,,0.165,0.015,9.756,13.933,0.136,0.988,3.607,1.877,,0.043,0.022,,0.165,0.043,,,,,1.63,117.881,1.63,,0,309.579,0,,,,,,0,0,0.328,2.302,13.768,3.564,3.343,0.865,0.493,0.128,0,0,,,,,0.024,0.353,0.024,,0.011,0.14,0.011,,,0.421,0,,,,0.422,0,,0.174,0,0,0,0,8.893,1.269,,
Greece,1876,GRC,3903025,7466927104,,,,,,,,,,,,,,,,,,,,,,,,,,323.465,,,,,,,,,0.284,2.26,13.886,3.558,3.368,0.863,0.521,0.133,,,,,,,,,,,,,,,,0.421,,,,,0.423,,,0.174,0,0,0,0,8.822,1.109,,
Greece,1877,GRC,3943563,7084307968,,,,,,,,,,,,,,,,,,,,,,,,,,337.458,,,,,,,,,0.285,2.259,13.994,3.548,3.402,0.863,0.548,0.139,,,,,,,,,,,,,,,,0.421,,,,,0.44,,,0.174,0,0,0,0,8.909,1.123,,
Greece,1878,GRC,3984522,7874494976,,,,,,,,,,,,,,,,,,,,,,,,,,351.55,,,,,,,,,0.285,2.258,14.091,3.537,3.437,0.862,0.571,0.143,,,,,,,,,,,,,,,,0.422,,,,,0.43,,,0.173,0,0,0,0,8.997,1.137,,
Greece,1879,GRC,4025888,8268504064,,,0.004,,,14.179,,,3.522,1.715,,0.001,0,,0.004,0.001,,,,,1.634,132.059,1.634,,0,365.725,0,,,,,,0,0,0.287,2.255,14.175,3.521,3.471,0.862,0.589,0.146,0,0,,,,,0,0.352,0,,0.009,0.132,0.009,,,0.422,0,,,,0.433,0,,0.173,0,0,0,0,9.078,1.154,,
Greece,1880,GRC,4067664,8211372032,,,,,,,,,,,,,,,,,,,,,,,,,,380.307,,,,,,,,,0.286,2.272,14.582,3.585,3.505,0.862,0.601,0.148,,,,,,,,,,,,,,,,0.423,,,,,0.431,,,0.172,0,0,0,0,9.243,1.162,,
Greece,1881,GRC,4109855,8057299968,,,,,,,,,,,,,,,,,,,,,,,,,,395.084,,,,,,,,,0.286,2.276,14.777,3.596,3.543,0.862,0.608,0.148,,,,,,,,,,,,,,,,0.423,,,,,0.438,,,0.172,0,0,0,0,9.353,1.174,,
Greece,1882,GRC,4152465,8668936192,,,,,,,,,,,,,,,,,,,,,,,,,,409.996,,,,,,,,,0.286,2.273,14.912,3.591,3.581,0.862,0.613,0.148,,,,,,,,,,,,,,,,0.423,,,,,0.419,,,0.171,0,0,0,0,9.44,1.187,,
Greece,1883,GRC,4195498,8727833600,,,0.004,,,15.032,,,3.583,1.722,,0.001,0,,0.004,0.001,,,,,1.638,147.091,1.638,,0,425.025,0,,,,,,0,0,0.287,2.271,15.028,3.582,3.619,0.862,0.618,0.147,0,0,,,,,0,0.336,0,,0.008,0.125,0.008,,0,0.423,0,,,0,0.432,0,,0.17,0,0,0,0,9.527,1.203,,
Greece,1884,GRC,4238976,9914167296,,,,,,,,,,,,,,,,,,,,,,,,,,440.152,,,,,,,,,0.286,2.264,15.128,3.569,3.656,0.863,0.623,0.147,,,,,,,,,,,,,,,,0.423,,,,,0.416,,,0.17,0,0,0,0,9.599,1.211,,
Greece,1885,GRC,4282905,10803359744,,,,,,,,,,,,,,,,,,,,,,,,,,455.37,,,,,,,,,0.286,2.258,15.218,3.553,3.694,0.862,0.627,0.146,,,,,,,,,,,,,,,,0.423,,,,,0.419,,,0.169,0,0,0,0,9.673,1.223,,
Greece,1886,GRC,4327290,10439077888,,,,,,,,,,,,,,,,,,,,,,,,,,470.686,,,,,,,,,0.286,2.254,15.316,3.539,3.732,0.862,0.631,0.146,,,,,,,,,,,,,,,,0.423,,,,,0.432,,,0.168,0,0,0,0,9.752,1.236,,
Greece,1887,GRC,4372134,10915316736,,,,,,,,,,,,,,,,,,,,,,,,,,486.064,,,,,,,,,0.285,2.246,15.377,3.517,3.77,0.862,0.634,0.145,,,,,,,,,,,,,,,,0.423,,,,,0.417,,,0.168,0,0,0,0,9.82,1.248,,
Greece,1888,GRC,4417442,11269871616,,,0.004,,,15.439,,,3.495,1.37,,0.001,0,,0.004,0.001,,,,,1.641,162.53,1.641,,0,501.499,0,,,,,,0,0,0.286,2.239,15.435,3.494,3.808,0.862,0.638,0.144,0,0,,,,,0,0.324,0,,0.006,0.115,0.006,,0,0.423,0,,,0,0.433,0,,0.167,0,0,0,0,9.889,1.264,,
Greece,1889,GRC,4463233,10608867328,,,,,,,,,,,,,,,,,,,,,,,,,,516.993,,,,,,,,,0.285,2.231,15.494,3.471,3.845,0.862,0.643,0.144,,,,,,,,,,,,,,,,0.423,,,,,0.421,,,0.167,0,0,0,0,9.958,1.272,,
Greece,1890,GRC,4509512,10115873792,,,,,,,,,,,,,,,,,,,,,,,,,,532.66,,,,,,,,,0.287,2.225,15.667,3.474,3.883,0.861,0.594,0.132,,,,,,,,,,,,,,,,0.422,,,,,0.397,,,0.166,0,0,0,0,10.033,1.292,,
Greece,1891,GRC,4556282,8906575872,,,,,,,,,,,,,,,,,,,,,,,,,,548.429,,,,,,,,,0.287,2.237,15.769,3.461,3.925,0.861,0.656,0.144,,,,,,,,,,,,,,,,0.421,,,,,0.379,,,0.164,0,0,0,0,10.192,1.307,,
Greece,1892,GRC,4603551,9390422016,,,0.37,,,16.22,,,3.523,1.727,,0.08,0.039,,0.37,0.08,,,,,2.012,178.751,2.012,,0,564.28,0,,,,,,0,0,0.372,2.33,15.85,3.443,3.988,0.866,0.714,0.155,0,0,,,,,0.027,0.296,0.028,,0.006,0.11,0.006,,0,0.42,0,,,0,0.386,0,,0.164,0,0,0,0,10.727,1.713,,
Greece,1893,GRC,4651322,10096884736,,,0.326,-0.044,-11.881,16.258,0.038,0.231,3.495,1.61,,0.07,0.032,,0.326,0.07,,,,,2.338,195.009,2.338,,0,580.211,0,,,,,,0,0,0.362,2.325,15.932,3.425,4.027,0.866,0.768,0.165,0,0,,,,,0.024,0.288,0.025,,0.007,0.116,0.007,,0,0.418,0,,,0,0.371,0,,0.163,0,0,0,0,10.814,1.683,,
Greece,1894,GRC,4699590,10423644160,,,0.333,0.007,2.247,16.316,0.058,0.355,3.472,1.565,,0.071,0.032,,0.333,0.071,,,,,2.671,211.324,2.671,,0,596.194,0,,,,,,0,0,0.363,2.328,15.982,3.401,4.069,0.866,0.818,0.174,0,0,,,,,0.024,0.285,0.024,,0.008,0.122,0.008,,0,0.417,0,,,0,0.371,0,,0.163,0,0,0,0,10.942,1.706,,
Greece,1895,GRC,4748357,10134683648,,,0.311,-0.022,-6.593,16.338,0.022,0.136,3.441,1.612,,0.066,0.031,,0.311,0.066,,,,,2.982,227.662,2.982,,0,612.22,0,,,,,,0,0,0.358,2.323,16.026,3.375,4.11,0.866,0.862,0.181,0,0,,,,,0.021,0.281,0.022,,0.008,0.127,0.008,,0,0.416,0,,,0,0.372,0,,0.162,0,0,0,0,11.031,1.699,,
Greece,1896,GRC,4797631,11238276096,,,0.374,0.062,20,16.445,0.107,0.656,3.428,1.463,,0.078,0.033,,0.374,0.078,,,,,3.356,244.107,3.356,,0,628.291,0,,,,,,0,0,0.371,2.336,16.071,3.35,4.156,0.866,0.9,0.188,0,0,,,,,0.024,0.284,0.025,,0.009,0.132,0.009,,0,0.415,0,,,0,0.379,0,,0.161,0,0,0,0,11.205,1.781,,
Greece,1897,GRC,4847416,9645251584,,,0.363,-0.011,-2.941,16.48,0.035,0.211,3.4,1.709,,0.075,0.038,,0.363,0.075,,,,,3.719,260.586,3.719,,0,644.408,0,,,,,,0,0,0.368,2.331,16.117,3.325,4.197,0.866,0.932,0.192,0,0,,,,,0.022,0.274,0.023,,0.009,0.137,0.01,,0,0.413,0,,,0,0.366,0,,0.161,0,0,0,0,11.301,1.786,,
Greece,1898,GRC,4897718,10526229504,,,0.462,0.099,27.273,16.628,0.148,0.9,3.395,1.58,,0.094,0.044,,0.462,0.094,,,,,4.181,277.214,4.181,,0,660.574,0,,,,,,0,0,0.389,2.349,16.166,3.301,4.245,0.867,0.956,0.195,0,0,,,,,0.027,0.274,0.028,,0.01,0.141,0.01,,0,0.412,0,,,0,0.371,0,,0.16,0,0,0,0,11.503,1.907,,
Greece,1899,GRC,4945307,10850608128,,,0.242,-0.22,-47.619,16.45,-0.178,-1.072,3.326,1.516,,0.049,0.022,,0.242,0.049,,,,,4.422,293.664,4.422,,0,676.782,0,,,,,,0,0,0.342,2.298,16.208,3.277,4.274,0.864,0.973,0.197,0,0,,,,,0.013,0.261,0.013,,0.01,0.144,0.01,,0,0.411,0,,,0,0.364,0,,0.159,0,0,0,0,11.363,1.691,,
Greece,1900,GRC,4990133,9785064448,,,0.418,0.176,72.727,15.166,-1.284,-7.804,3.039,1.55,,0.084,0.043,,0.418,0.084,,,,,4.84,308.83,4.84,,0,691.53,0,,,,,,0,0,0.38,2.234,14.748,2.955,4.326,0.867,0.982,0.197,0,0,,,,,0.021,0.234,0.022,,0.011,0.147,0.011,,0,0.409,0,,,0,0.327,0,,0.158,0,0,0,0,11.149,1.894,,
