country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Laos,1850,LAO,624664,,,,,,,,,,,,,,,,,,,,,,,,,,,4.835,,,,,,,,,0.4,7.093,4.835,7.741,1.039,1.663,0.033,0.053,,,,,,,,,,,,,,,,0.183,,,,,0.183,,,,,,,,4.431,0.25,,
Laos,1851,LAO,629808,,,,,,,,,,,,,,,,,,,,,,,,,,,8.832,,,,,,,,,0.401,6.285,3.996,6.345,1.051,1.668,0.034,0.054,,,,,,,,,,,,,,,,0.162,,,,,0.142,,,0.097,0,0,0,0,3.958,0.253,,
Laos,1852,LAO,634993,,,,,,,,,,,,,,,,,,,,,,,,,,,12.194,,,,,,,,,0.403,5.772,3.362,5.295,1.062,1.673,0.034,0.054,,,,,,,,,,,,,,,,0.147,,,,,0.118,,,0.093,0,0,0,0,3.665,0.256,,
Laos,1853,LAO,640221,,,,,,,,,,,,,,,,,,,,,,,,,,,14.837,,,,,,,,,0.404,5.333,2.643,4.129,1.074,1.677,0.035,0.055,,,,,,,,,,,,,,,,0.132,,,,,0.091,,,0.09,0,0,0,0,3.415,0.258,,
Laos,1854,LAO,645490,,,,,,,,,,,,,,,,,,,,,,,,,,,19.163,,,,,,,,,0.405,6.939,4.326,6.703,1.086,1.682,0.036,0.055,,,,,,,,,,,,,,,,0.136,,,,,0.148,,,0.094,0,0,0,0,4.479,0.261,,
Laos,1855,LAO,650801,,,,,,,,,,,,,,,,,,,,,,,,,,,21.879,,,,,,,,,0.406,5.335,2.716,4.173,1.097,1.686,0.036,0.055,,,,,,,,,,,,,,,,0.129,,,,,0.094,,,0.091,0,0,0,0,3.472,0.264,,
Laos,1856,LAO,656155,,,,,,,,,,,,,,,,,,,,,,,,,,,24.421,,,,,,,,,0.407,5.177,2.541,3.873,1.109,1.69,0.037,0.056,,,,,,,,,,,,,,,,0.122,,,,,0.086,,,0.089,0,0,0,0,3.397,0.267,,
Laos,1857,LAO,661552,,,,,,,,,,,,,,,,,,,,,,,,,,,26.57,,,,,,,,,0.409,4.702,2.149,3.249,1.121,1.694,0.037,0.056,,,,,,,,,,,,,,,,0.116,,,,,0.073,,,0.087,0,0,0,0,3.11,0.27,,
Laos,1858,LAO,666992,,,,,,,,,,,,,,,,,,,,,,,,,,,29.616,,,,,,,,,0.41,5.314,3.046,4.567,1.132,1.698,0.037,0.056,,,,,,,,,,,,,,,,0.114,,,,,0.102,,,0.086,0,0,0,0,3.544,0.273,,
Laos,1859,LAO,672476,,,,,,,,,,,,,,,,,,,,,,,,,,,32.048,,,,,,,,,0.411,4.902,2.432,3.616,1.144,1.702,0.038,0.056,,,,,,,,,,,,,,,,0.111,,,,,0.08,,,0.085,0,0,0,0,3.297,0.276,,
Laos,1860,LAO,678004,,,,,,,,,,,,,,,,,,,,,,,,,,,34.209,,,,,,,,,0.412,4.667,2.161,3.188,1.156,1.705,0.038,0.056,,,,,,,,,,,,,,,,0.108,,,,,0.078,,,0.084,0,0,0,0,3.164,0.279,,
Laos,1861,LAO,683576,,,,,,,,,,,,,,,,,,,,,,,,,,,36.638,,,,,,,,,0.413,4.949,2.429,3.553,1.169,1.71,0.038,0.055,,,,,,,,,,,,,,,,0.106,,,,,0.088,,,0.084,0,0,0,0,3.383,0.282,,
Laos,1862,LAO,689193,,,,,,,,,,,,,,,,,,,,,,,,,,,38.702,,,,,,,,,0.414,4.557,2.064,2.995,1.182,1.715,0.038,0.055,,,,,,,,,,,,,,,,0.104,,,,,0.075,,,0.083,0,0,0,0,3.141,0.286,,
Laos,1863,LAO,694854,,,,,,,,,,,,,,,,,,,,,,,,,,,40.491,,,,,,,,,0.672,4.592,1.79,2.576,1.373,1.976,0.038,0.055,,,,,,,,,,,,,,,,0.101,,,,,0.066,,,0.084,0,0,0,0,3.191,0.467,,
Laos,1864,LAO,700561,,,,,,,,,,,,,,,,,,,,,,,,,,,42.24,,,,,,,,,0.674,4.444,1.749,2.496,1.388,1.981,0.038,0.054,,,,,,,,,,,,,,,,0.099,,,,,0.067,,,0.084,0,0,0,0,3.113,0.472,,
Laos,1865,LAO,706314,,,,,,,,,,,,,,,,,,,,,,,,,,,44.322,,,,,,,,,0.675,4.839,2.082,2.947,1.403,1.986,0.038,0.054,,,,,,,,,,,,,,,,0.098,,,,,0.081,,,0.085,0,0,0,0,3.418,0.477,,
Laos,1866,LAO,712113,,,,,,,,,,,,,,,,,,,,,,,,,,,46.309,,,,,,,,,0.677,4.621,1.987,2.79,1.418,1.991,0.038,0.054,,,,,,,,,,,,,,,,0.097,,,,,0.076,,,0.086,0,0,0,0,3.291,0.482,,
Laos,1867,LAO,717958,,,,,,,,,,,,,,,,,,,,,,,,,,,48.283,,,,,,,,,0.679,4.567,1.974,2.749,1.433,1.995,0.038,0.053,,,,,,,,,,,,,,,,0.096,,,,,0.077,,,0.086,0,0,0,0,3.279,0.487,,
Laos,1868,LAO,723850,,,,,,,,,,,,,,,,,,,,,,,,,,,50.214,,,,,,,,,0.68,4.523,1.931,2.668,1.448,2,0.038,0.053,,,,,,,,,,,,,,,,0.095,,,,,0.076,,,0.087,0,0,0,0,3.274,0.493,,
Laos,1869,LAO,731796,,,,,,,,,,,,,,,,,,,,,,,,,,,51.983,,,,,,,,,0.68,4.37,1.769,2.418,1.462,1.998,0.038,0.053,,,,,,,,,,,,,,,,0.094,,,,,0.068,,,0.087,0,0,0,0,3.198,0.498,,
Laos,1870,LAO,741854,,,,,,,,,,,,,,,,,,,,,,,,,,,54.874,,,,,,,,,0.663,5.134,2.892,3.898,1.467,1.977,0.039,0.052,,,,,,,,,,,,,,,,0.094,,,,,0.102,,,0.088,0,0,0,0,3.808,0.492,,
